Estado creación,F. operación,Fecha valor,F. liquidación,Contrato,ISIN,Sentido,Cantidad,Precio,Tipo de cambio,Efectivo final,Efectivo final (divisa cartera),Efectivo final + retención (divisa cartera),Cartera,Ticket,Divisa,Mercado de acciones,Producto,Naturaleza,Precio con cupón,Importe final,Intereses,Brokerage,Com. agencia + IVA,Comisión ext. + IVA,Com.agn. (divisa cartera) + IVA,Com.ext. (divisa cartera) + IVA,Retención,Retención (divisa cartera)
Creación,16/06/2025,16/06/2025,16/06/2025,ASABYS 20-ASABYS 20,ASABYS 20,Venta,0,"43741,99",1,"43741,99","43741,99","43741,99",1142.02-BALDOMERO PE PRE-MDF,5-251222x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,26/06/2025,26/06/2025,26/06/2025,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,"15731,99",1,"-15731,99","-15731,99","-15731,99",1142.02-BALDOMERO PE PRE-MDF,5-250620x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,15/09/2025,15/09/2025,15/09/2025,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,"15732,25",1,"-15732,25","-15732,25","-15732,25",1142.02-BALDOMERO PE PRE-MDF,5-251104x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,31/10/2025,31/10/2025,31/10/2025,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Venta,164988,"1,416339734",1,"233679,06","233679,06","233679,06",1142.02-BALDOMERO PE PRE-MDF,5-251031x25,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,31/10/2025,31/10/2025,31/10/2025,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Venta,351788,"1,416345185",1,"498253,24","498253,24","498253,24",1142.02-BALDOMERO PE PRE-MDF,5-251031x26,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,03/12/2025,03/12/2025,03/12/2025,GREEN TRANS 22-GREEN TRANS 22,GREEN TRANS 22,Compra,0,225000,1,-225000,-225000,-225000,1142.02-BALDOMERO PE PRE-MDF,5-251203x07,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,04/12/2025,04/12/2025,04/12/2025,TITAN II A 22-TITAN INVERSIONES EN INFRAESTRUCTURAS II CLASE A,TITAN II A 22,Compra,200000,1,1,-200000,-200000,-200000,1142.02-BALDOMERO PE PRE-MDF,5-260120x03,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,19/12/2025,19/12/2025,19/12/2025,TITAN II A 22-TITAN INVERSIONES EN INFRAESTRUCTURAS II CLASE A,TITAN II A 22,Venta,0,"45999,48",1,"45999,48","45999,48","45999,48",1142.02-BALDOMERO PE PRE-MDF,5-260120x05,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,23/12/2025,23/12/2025,23/12/2025,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,"11534,85",1,1,"-11534,85","-11534,85","-11534,85",1142.02-BALDOMERO PE PRE-MDF,5-251218x26,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*Cash flows históricos por transacción Vidaro Inversiones S.L. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*Datos en divisa fondo y cartera.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*Tipo de cambio aplicado por transacción.,,,,,,,,,,,,,,,,,,,,,,,,,,,
